smiles,HLM
CCOc1ccc(CNC(=O)c2cc(-c3sc(C)nc3C)n[nH]2)cc1OCC,50.68
Cc1nc(C)c(CN2CC(C)C(=O)Nc3ccccc32)s1,50.59
CCCN1CCN(c2nn3nnnc3c3ccccc23)CC1,80.892
Cc1ccc(-c2ccc(-n3nc(C)c(S(=O)(=O)N4CCN(C5CCCCC5)CC4)c3C)nn2)cc1,2.0
Cc1ccc2c(c1)N(C(=O)c1ccncc1)CC(C)O2,99.99
COc1c(F)c(F)cc2c(=O)c(C(=O)NCCCN3CCCC3=O)cn(C3CC3)c12,66.63
CN(C)c1cccc2c(S(=O)(=O)NC(CC(=O)O)C(=O)O)cccc12,69.25
C1=Cn2nc(/C=C/c3cccs3)nc2-c2ccccc2O1,25.121
COc1ccc2nc(C3=CCCN(C)C3)n(C)c2c1,71.471
CCN1CCCC1CNC(=O)C1CCCN(c2ncnc3[nH]cnc23)C1,76.291
CN(C1CCNCC1)S(=O)(=O)c1ccc(Cl)s1,40.158
CC1CN(Cc2cncs2)CCN1CC(C)(C)O,94.151
Nc1nc(N2CCN(c3ccccc3Cl)CC2)nc2ccccc12,4.273
CC(C)c1ccc(CCCNS(C)(=O)=O)cc1,63.68
Oc1cc(-c2ccc(-c3ccc(Br)cc3)cc2)nn1-c1ccccn1,99.0
COc1cc(Nc2ncc(-c3cnn(C)c3)c(Nc3ccc4c(c3)CNCC4)n2)cc(OC)c1,82.81
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)NCC1CCCO1,66.631
COCCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)Cc1c[nH]c2ccccc12,5.529
O=C(O)C1C(c2ccccc2)C(C(=O)O)C1c1ccccc1,91.84
CCC(CO)Nc1ncc2cc3ccccc3nc2c1C#N,42.906
CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1c(F)c(F)cc(F)c1F,83.03
CCCc1nn2c(N)c(C#N)nnc2c1-c1ccc(F)cc1,51.664
O=C(C1CC(=O)N(c2n[nH]c3cc(Br)ccc23)C1)N1CCCC1,99.9
COCCCNC(=O)C1CCC(CN(Cc2c(Cl)cccc2Cl)S(=O)(=O)c2ccc(Br)cc2)CC1,0.0
Cc1noc(C)c1Cc1c(C(=O)N2CCC(Cc3nc(C4CCOCC4)no3)CC2)noc1C,1.36
Cc1cc(C)cc(N/C(N)=N/Cc2nc(C(C)(C)C)cs2)c1,0.07
CCS(=O)(=O)c1nc(S(=O)(=O)c2ccc(Cl)cc2)c(NC2CCCC2)s1,21.6
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,99.0
CC(C)CCN(C)C1CCN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1,54.218
CC(C)Cn1c(NCCN(C)C)nc2c1c(=O)[nH]c(=O)n2C,99.0
O=C(c1nccc2ccccc12)N1CCc2cc(-c3ccno3)ccc21,4.124
Cc1nc2nc(CCNS(=O)(=O)c3cccs3)cn2nc1C,99.0
c1ccc2c(c1)OCC(c1csc(C3COc4ccccc4O3)n1)O2,78.013
CCN(CC)S(=O)(=O)c1ccc(S(=O)(=O)NCc2cccs2)cc1,13.78
Oc1ccc(-c2nc(-c3ccc(F)c(F)c3)no2)cc1Cl,58.7
O=C(Nc1ccccc1Cl)NC1(C(=O)N2CCC(O)CC2)CCCCC1,99.0
Cc1cc(C)n2nc(C(=O)N3C[C@@H](N)C[C@H]3C(=O)NC(C)C)cc2n1,82.29
Cc1ccc(C2CC(c3c(O)[nH]c(=O)n(C)c3=O)=NN2)s1,24.242
COCCN(C)C(=O)Cn1c(-c2ccccc2)nn(-c2cccc(C)c2)c1=O,54.414
Cc1ccc(CNC(=O)N2Cc3c(sc4c3CCCC4)-n3cccc3C2C(C)C)cc1,1.3
COc1ccc(OCCNC(=O)c2cc(S(=O)(=O)N(C)C)c(Cl)cc2Cl)cc1,32.55
CCN(CC)S(=O)(=O)c1cc(Br)cnc1N,37.138
CC(C)n1nc(CNc2ccc(Cl)cc2)[nH]c1=O,67.631
CC1C(S(C)(=O)=O)=NNc2c(-c3ccccc3)cnn21,92.78
CCOC(=O)c1ccc(NC(=O)c2ccc(-n3nncc3C)cc2)cc1,5.48
COn1c(Br)c(Br)c(Br)c1C(=O)Nc1ccc(Br)cc1,23.795
COc1c(Br)ccc2c1sc1ncnc(NC(C)C(=O)O)c12,39.943
O=C(Nc1cccc2c1N(c1ncccn1)CC2)c1ccccc1,1.34
N#Cc1nccnc1OC1CCN(C(=O)c2ccc(N3CCOCC3)cc2)C1,76.87
COc1ccc(-n2ccnc2-c2nccn2[C@@H]2c3ccccc3C[C@@H]2O)cc1,38.97
CC(=O)c1cnc2c(C)c(-c3ccc(C)cc3)nn2c1C,1.16
CN(C)S(=O)(=O)c1ccc(Br)c2ccccc12,7.63
COc1ccc(NC(=O)COCc2ccccc2)cc1,0.12
COc1cc(Br)c(S(=O)(=O)N[C@@H]2CCCN(C(=O)c3ccccc3)C2)cc1OC,37.45
CC(=O)N(c1nc(COC(=O)/C=C/c2cnn(C)c2)cs1)c1c(C)cc(C)cc1C,0.441
CN1N=C(c2ccc(-n3cncn3)cc2)CC1c1cnn(C)c1,96.918
COC(=O)C1C(C(=O)OC)C2(OC(c3ccccc3)=CC2=O)C12OC(c1ccccc1)=CC2=O,22.004
O=C(c1cc2cc(Br)c3ncccc3c2s1)N1CCN(c2ccccc2)CC1,70.72
Cc1nc2ccccc2c(=O)n1-c1ccc(Cl)c(O[C@H]2CCN(C)C2)c1,92.459
CC(=O)N1CCC(C(=O)N2CCN(c3cc(Cl)ccc3C)CC2)CC1,88.29
COc1cc(=O)n2c(c1C(=O)Nc1ccc3c(c1)OCCO3)CCCC2,85.03
Cc1[nH]c(C(=O)NCc2ccc3c(c2)OCO3)c(C)c1S(=O)(=O)N1CCCCCC1,83.01
CCCn1c(=O)c2ccc(C(=O)NC3CCCC3)cc2n2c(=O)n(Cc3ccc(C)cc3)nc12,70.13
CC(C)(C)OC(=O)NC1CCN(c2nnc(Cl)c3ccccc23)CC1,36.757
O=C(Nc1ccccc1)c1cn2c(n1)C(c1ccccc1)N(C(=O)c1ccccc1)CC2,99.99
Cc1cc(C)cc(N(C)S(=O)(=O)c2ccsc2-c2nc(-c3cccnc3)no2)c1,36.08
O=C(NC1Cc2ccccc2C1)NC1CCCn2ncnc21,87.058
CC(=O)N1c2ccc(S(=O)(=O)Nc3ccc(C(=O)c4c(C)nc5sccn45)cc3)cc2CC1C,38.47
CS(=O)(=O)c1ccc(Nc2ccc3sc(C(=O)O)cc3c2)c(F)c1,95.61
Cc1cc(=O)c(C(=O)Nc2nc3ccccc3nc2N2CCCC2)nn1-c1ccc(Cl)cc1,88.06
Cc1cc(Br)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(F)nc(F)c2)c1,60.46
CC(C)COc1cc(=O)n2c(c1C(=O)NCC1CCCCC1)CCCCC2,0.44
Cc1cc(C)n(CCCN(C)Cc2cn(C(C)C)c3cc(F)ccc23)n1,4.7
O=c1cc(-c2ccccc2)oc2ccccc12,8.103
