smiles,MLM
CCOc1ccc(CNC(=O)c2cc(-c3sc(C)nc3C)n[nH]2)cc1OCC,26.01
Cc1nc(C)c(CN2CC(C)C(=O)Nc3ccccc32)s1,29.27
CCCN1CCN(c2nn3nnnc3c3ccccc23)CC1,5.586
Cc1ccc(-c2ccc(-n3nc(C)c(S(=O)(=O)N4CCN(C5CCCCC5)CC4)c3C)nn2)cc1,5.71
Cc1ccc2c(c1)N(C(=O)c1ccncc1)CC(C)O2,93.27
COc1c(F)c(F)cc2c(=O)c(C(=O)NCCCN3CCCC3=O)cn(C3CC3)c12,27.64
CN(C)c1cccc2c(S(=O)(=O)NC(CC(=O)O)C(=O)O)cccc12,82.107
C1=Cn2nc(/C=C/c3cccs3)nc2-c2ccccc2O1,2.673
COc1ccc2nc(C3=CCCN(C)C3)n(C)c2c1,74.519
CCN1CCCC1CNC(=O)C1CCCN(c2ncnc3[nH]cnc23)C1,73.417
CN(C1CCNCC1)S(=O)(=O)c1ccc(Cl)s1,56.9
CC1CN(Cc2cncs2)CCN1CC(C)(C)O,32.668
Nc1nc(N2CCN(c3ccccc3Cl)CC2)nc2ccccc12,0.761
CC(C)c1ccc(CCCNS(C)(=O)=O)cc1,66.24
Oc1cc(-c2ccc(-c3ccc(Br)cc3)cc2)nn1-c1ccccn1,69.28
COc1cc(Nc2ncc(-c3cnn(C)c3)c(Nc3ccc4c(c3)CNCC4)n2)cc(OC)c1,48.42
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)NCC1CCCO1,59.496
COCCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)Cc1c[nH]c2ccccc12,1.776
O=C(O)C1C(c2ccccc2)C(C(=O)O)C1c1ccccc1,65.85
CCC(CO)Nc1ncc2cc3ccccc3nc2c1C#N,13.856
CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1c(F)c(F)cc(F)c1F,99.0
CCCc1nn2c(N)c(C#N)nnc2c1-c1ccc(F)cc1,33.778
O=C(C1CC(=O)N(c2n[nH]c3cc(Br)ccc23)C1)N1CCCC1,99.9
COCCCNC(=O)C1CCC(CN(Cc2c(Cl)cccc2Cl)S(=O)(=O)c2ccc(Br)cc2)CC1,0.0
Cc1noc(C)c1Cc1c(C(=O)N2CCC(Cc3nc(C4CCOCC4)no3)CC2)noc1C,3.39
Cc1cc(C)cc(N/C(N)=N/Cc2nc(C(C)(C)C)cs2)c1,0.17
CCS(=O)(=O)c1nc(S(=O)(=O)c2ccc(Cl)cc2)c(NC2CCCC2)s1,0.09
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,73.73
CC(C)CCN(C)C1CCN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1,3.855
CC(C)Cn1c(NCCN(C)C)nc2c1c(=O)[nH]c(=O)n2C,94.6
O=C(c1nccc2ccccc12)N1CCc2cc(-c3ccno3)ccc21,1.814
Cc1nc2nc(CCNS(=O)(=O)c3cccs3)cn2nc1C,94.33
c1ccc2c(c1)OCC(c1csc(C3COc4ccccc4O3)n1)O2,55.941
CCN(CC)S(=O)(=O)c1ccc(S(=O)(=O)NCc2cccs2)cc1,7.74
Oc1ccc(-c2nc(-c3ccc(F)c(F)c3)no2)cc1Cl,54.9
O=C(Nc1ccccc1Cl)NC1(C(=O)N2CCC(O)CC2)CCCCC1,81.57
